time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
600,2.5499999999999621,2.5499999999998169,2.5499999999978615,2.5499999999746326,2.5499999997218605,2.5499999972609544,2.5499999760720429,2.5499998156861432,2.5499987523047341,2.549992589413935,2.5499614057280149,2.5498237266851422,2.5492933482537059,2.5475098853273579,2.5422699527397032,2.5287963540446849,2.498398688021692,2.4380066521423966,2.3318304680528459,2.1656292130552348,1.9323319751474688
660,2.5499999999993559,2.5499999999975453,2.5499999999779401,2.5499999997937208,2.5499999981918502,2.5499999855734932,2.5499998965321038,2.5499993370067227,2.5499962171733999,2.5499808131535104,2.5499135463433209,2.549653904413328,2.5487681292493436,2.546096264927094,2.5389636308107706,2.5220859624454333,2.4866009708498567,2.4200872722465938,2.3084482927950996,2.139769818385906,1.9089911440073086
720,2.5499999999932701,2.5499999999784113,2.5499999998433438,2.5499999987992923,2.5499999912723292,2.549999941608097,2.5499996449182452,2.5499980495448606,2.549990354851059,2.5499571348757746,2.5498289142873722,2.5493867293645662,2.5480243604838311,2.5442730266309943,2.5350332303746583,2.5146450404723275,2.474250989978211,2.4021694914074079,2.2858655873576668,2.1154110606401861,1.887320423245088
780,2.5499999999505318,2.5499999998621483,2.5499999991658671,2.5499999946010665,2.5499999665285094,2.5499998071760626,2.549998980828434,2.5499950885009444,2.5499784929605145,2.5499145751329615,2.5496924634264788,2.5489965237654317,2.5470305817572623,2.5420219986693651,2.530504055864069,2.5065611624801019,2.4614750806483903,2.3843487454274657,2.2640750848754636,2.0924009424927448,1.8670888803402719
840,2.5499999997239073,2.5499999993157889,2.5499999964603957,2.5499999801952145,2.5499998929329108,2.5499994577231506,2.5499974596424204,2.5499890622825792,2.5499568659787233,2.549844477707639,2.549487732775912,2.5484586630202655,2.5457613931982874,2.5393354698201267,2.525409182370149,2.4979163069264034,2.4483768600486129,2.3666898746343961,2.2430412894985334,2.0706040310367597,1.8481227494327066
900,2.5499999987640685,2.5499999972257301,2.5499999874811485,2.5499999383050143,2.5499997039618401,2.5499986596035695,2.5499943470028743,2.5499779350587577,2.549920568717742,2.549736764394535,2.5491975925318373,2.5477504938099522,2.5441973982809012,2.5362140298027613,2.5197862464594696,2.4887869955782045,2.4350459390648753,2.3492480147045365,2.2227440647654384,2.0499088946774324,1.8302398376440128
960,2.5499999953769121,2.5499999904613047,2.5499999618335556,2.5499998317949091,2.5499992732242012,2.5499970181113092,2.5499885337339689,2.5499589436927073,2.5498635938824457,2.5495802740815945,2.5488049353861939,2.5468519907343405,2.5423250141126594,2.5326650917697284,2.513675534939309,2.4792430613304925,2.4215551958005017,2.3320561480900444,2.2031376323465199,2.0301940558908171,1.8134077546337186
1020,2.5499999850903712,2.549999971384219,2.5499998970817703,2.5499995892684391,2.5499983829210242,2.5499939203965543,2.5499784606178721,2.5499285566163934,2.5497789385276999,2.5493631283864788,2.5482932169399839,2.5457459744147908,2.5401355368628069,2.528700208429759,2.5071158054019538,2.4693430705123012,2.4079574597824789,2.3151267211628572,2.1841760711041718,2.0113930898159009,1.7974901423478453
1080,2.5499999575209533,2.5499999234148008,2.5499997495605697,2.5499990854455215,2.5499966864972285,2.5499884779847104,2.5499620593733145,2.5498824720164959,2.5496587497143066,2.5490730642317083,2.5476468160689913,2.5444180914035437,2.537624414768219,2.5243341945251254,2.5001454879514453,2.4591413663203938,2.3943022036619457,2.2984797136398787,2.1658366640391749,1.9934237232428087,1.7824851607449628
1140,2.5499998910030683,2.5499998139042646,2.5499994412731848,2.5499981164834336,2.5499936675780117,2.5499794733529306,2.5499367137718947,2.5498156522969824,2.549494500651849,2.5486977543489142,2.5468513435436,2.5428567960444117,2.5347905857666673,2.5195835670372095,2.4927994550473103,2.4486805173362143,2.3806181769430355,2.2821066333646733,2.1480640634331722,1.9762377995303353,1.7683074794876426
