N,kirchhoff_error,kirchhoff_seconds,harmonic_error,harmonic_seconds,uniform_error,uniform_seconds
100,0.0002002188378029679,0.576194299996132,0.00020021025435390527,0.4485428999760188,0.017505386345483487,0.4970084000087809
200,5.0131681864407085e-05,0.7235092000046279,5.013168803102985e-05,0.5522430000128224,0.00435660696594331,0.6663531000085641
400,1.253777029663894e-05,0.9729445000120904,1.2537844470639214e-05,0.7785833000089042,0.0010142355029074679,0.8830391999799758
800,3.1348338613845783e-06,1.5414333999797236,3.1348788231966296e-06,1.2215338999812957,0.0002499906037605193,1.375057500001276
1600,7.837084652351223e-07,2.6312418000015896,7.836566737751127e-07,1.9922039000084624,6.229734119411745e-05,2.300115799997002
