case,T_max_abs_difference,T_center_1800_change,T_surface_1800_change,C_max_abs_difference,C_center_1800_change,C_surface_1800_change
PCHIP,0.004202181485364775,0.00048594492329812056,0.00022344917382355334,1.8694281824771508e-06,-1.1219025708442132e-11,1.1891229734217745e-07
h_factor_0.95,0.1820019765633063,-0.13490571966215725,-0.1820019765633063,0.0,0.0,0.0
h_factor_1.05,0.17035571421761375,0.12745850765469413,0.17035571421761375,0.0,0.0,0.0
hm_factor_0.95,0.0,0.0,0.0,0.03643473395860086,3.266154013914502e-07,0.03643473395860086
hm_factor_1.05,0.0,0.0,0.0,0.035243271540863486,-3.2156812190820006e-07,-0.035243271540863486
d_factor_0.95,0.0,0.0,0.0,0.016972413715333978,3.4015752499172436e-06,-0.016972413715333978
d_factor_1.05,0.0,0.0,0.0,0.01598642807709094,-5.3768774535001285e-06,0.01598642807709094
